	0	90k_Plus
STR_TAC3-PLPP4_GABA.hypo.dmr.bed	82543	False
SN_EBF2_GABA.hypo.dmr.bed	185	False
F_M_GATA3_GABA.hypo.dmr.bed	182126	True
Astrocyte-1.hypo.dmr.bed	16458	False
STR_Cholinergic_GABA.hypo.dmr.bed	158	False
STRd_D2_Striosome_MSN.hypo.dmr.bed	20901	False
STR-BF_TAC3-PLPP4-LHX8_GABA.hypo.dmr.bed	3543	False
STH_PVALB-PITX2_Glut.hypo.dmr.bed	31177	False
STR_SST-CHODL_RORA_GABA.hypo.dmr.bed	48423	False
Astrocyte-2.hypo.dmr.bed	2857	False
STRd_D2_Matrix_MSN.hypo.dmr.bed	25653	False
Microglia-3.hypo.dmr.bed	1259	False
Astrocyte-3.hypo.dmr.bed	27265	False
SN-VTR_CALB1_Dopa.hypo.dmr.bed	6298	False
Oligo_PLEKHG1.hypo.dmr.bed	18485	False
STRv_D1_MSN.hypo.dmr.bed	8526	False
Astrocyte-4.hypo.dmr.bed	8102	False
AMY-SLEA-BNST_GABA.hypo.dmr.bed	22351	False
ZI-HTH_GABA.hypo.dmr.bed	3113	False
STR_SST-CHODL_GRIN2A_GABA.hypo.dmr.bed	1327	False
STR_LYPD6-RSPO2_GABA.hypo.dmr.bed	3910	False
STRd_Cholinergic_GABA.hypo.dmr.bed	3807	False
STRd_D1_Matrix_MSN.hypo.dmr.bed	20601	False
F_GABA.hypo.dmr.bed	1187	False
BF_SKOR1_Glut.hypo.dmr.bed	36809	False
SN_GATA3-PVALB_GABA.hypo.dmr.bed	11717	False
SN_SEMA5A_GABA.hypo.dmr.bed	3547	False
GPe_SOX6-CTXND1_GABA.hypo.dmr.bed	2442	False
SN-VTR_GAD2_Dopa.hypo.dmr.bed	6515	False
STRd_D2_StrioMat_Hybrid_MSN.hypo.dmr.bed	123471	True
STRv_D2_MSN.hypo.dmr.bed	11300	False
STR_SST-CHODL_NRP2_GABA.hypo.dmr.bed	3541	False
STRd_D1_Striosome_MSN.hypo.dmr.bed	25783	False
STRv_D1_NUDAP_MSN.hypo.dmr.bed	8448	False
Oligo_OPALIN.hypo.dmr.bed	44255	False
SN-VTR-HTH_GATA3-TCF7L2_GABA.hypo.dmr.bed	13137	False
STR_FS_PTHLH-PVALB_GABA.hypo.dmr.bed	95507	True
GPin-BF_Cholinergic_GABA.hypo.dmr.bed	88	False
Microglia-1.hypo.dmr.bed	8591	False
Microglia-2.hypo.dmr.bed	26404	False
STR_SST-RSPO2_GABA.hypo.dmr.bed	1161	False
GPe-NDB-SI_LHX6-LHX8-GBX1_GABA.hypo.dmr.bed	114	False
SN_SOX6_Dopa.hypo.dmr.bed	578	False
STR_D1D2_Hybrid_MSN.hypo.dmr.bed	62953	False
